Benchmark,Matrix,Configuration,Elements,Time estimate (ns),Throughput (GFLOP/s),nnz,Samples
spmv,shipsec1,psblas/csc,15626808,5720625.95,2.731660509983177,7813404,2
spmv,shipsec1,psblas/csr,15626808,5476534.8,2.85341161348961,7813404,2
spmv,smallworld,eigen/csc_map,1999992,1022533.90625,1.9559175375755418,999996,2
spmv,smallworld,eigen/csr_map,1999992,1011926.48125,1.9764202608172432,999996,2
spmv,smallworld,faer/csc,1999992,918558.15,2.1773167000913336,999996,2
spmv,smallworld,faer/csr,1999992,902520.3125,2.2160077422080184,999996,2
spmv,smallworld,mkl/csc_ie,1999992,1004875.6875,1.990287977785312,999996,2
spmv,smallworld,mkl/csr_ie,1999992,498620.7625,4.0110483766708365,999996,2
spmv,smallworld,petsc/csr,1999992,549379.63125,3.640455317663363,999996,2
spmv,smallworld,psblas/csc,1999992,985581.78125,2.0292501728912207,999996,2
spmv,smallworld,psblas/csr,1999992,978459.271875,2.044021716067404,999996,2
spmv,thermal2,eigen/csc_map,17160626,11650054.3,1.4730082416869075,8580313,2
spmv,thermal2,eigen/csr_map,17160626,11187574.2,1.5339005304653086,8580313,2
spmv,thermal2,faer/csc,17160626,10846575.15,1.5821239204708777,8580313,2
spmv,thermal2,faer/csr,17160626,11160127.75,1.5376728998465095,8580313,2
spmv,thermal2,mkl/csc_ie,17160626,11825910.1,1.4511040465291547,8580313,2
spmv,thermal2,mkl/csr_ie,17160626,8105876.38125,2.117059919602879,8580313,2
spmv,thermal2,petsc/csr,17160626,8435692.45,2.034287772072582,8580313,2
spmv,thermal2,psblas/csc,17160626,10669242.45,1.6084202866718058,8580313,2
spmv,thermal2,psblas/csr,17160626,10482621.7,1.6370547837283873,8580313,2
spmv,web-Google,eigen/csc_map,10210078,13833370.325,0.7380759540246025,5105039,2
spmv,web-Google,eigen/csr_map,10210078,10665278.675,0.9573193829367989,5105039,2
spmv,web-Google,faer/csc,10210078,13012095.85,0.7846605279963411,5105039,2
spmv,web-Google,faer/csr,10210078,13755424.425,0.7422583036728072,5105039,2
spmv,web-Google,mkl/csc_ie,10210078,15171829.3,0.672962883915389,5105039,2
spmv,web-Google,mkl/csr_ie,10210078,9524265.1,1.072006910013456,5105039,2
spmv,web-Google,petsc/csr,10210078,9795763.6,1.042295263229913,5105039,2
spmv,web-Google,psblas/csc,10210078,13018794.65,0.7842567821745309,5105039,2
spmv,web-Google,psblas/csr,10210078,10781964.925,0.9469589329052652,5105039,2
